transaction_uuid,amount_micros,rate
ff01dba4999266bf,6793678636,7.0469
f87400756e883052,4541878611,6.0956
8fa2ecbecc5ff2cb,8962091312,6.4956
787e8d5ee79eb735,4854515226,9.4074
b2e4e4fb88a9438e,5332717724,4.6983
91dbe3b0a43e18d3,433790432,0.6092
3e6b052a1f0b04d2,3813305053,5.4917
2b60f2059b1507cb,1677229310,4.3141
ecdb73a517d29682,2723919238,9.267
f4960820021a8fef,717700781,0.1677
37499cb4680061b3,2960385916,1.5367
1233874a3efb6890,524964936,9.9603
6821c58e94f50a14,8645921981,7.6622
da076739145e1c39,2609234382,2.2184
67c6111dafb0acb7,9720128091,0.0494
57c487fced43746a,1642841157,9.4949
e9d15f2611efa243,9862386518,7.978
aa7818fc18b4e7b6,9267646282,1.2997
fc92709e2876beb7,3386163903,6.6524
f5bacd396afa07be,7178686064,4.6406
ad0fb9ee1dc3b93c,2767590171,5.9111
2964973f107dac7a,1456453922,9.7682
54801c2cc6acd226,5583275214,6.0077
7408f5867d4a78e1,347554412,2.4022
d4aca6d1a68dca43,9690233124,2.5412
734f1d65517274ee,3077810677,8.6585
7ae5133a55c3ca6d,8590662187,4.4856
5ee8bfbcdecf49a5,8505330796,3.3447
62f57e2f2055eec6,1321711313,5.5702
83d64a25e1234645,4934399612,3.649
33955c02d6c28d5c,1205899937,4.4431
96f6795d998ffd76,6065470393,5.1457
801f2eae14c01522,4134280515,3.5592
a1fa0e3782803ed8,7930041997,6.3984
ae2721130369deb8,2697859104,3.2164
e21da364666cc874,1184231803,6.7864
cf3bba08339aabb7,5301193371,7.8776
0cdd9031a82ffe74,5627320104,1.5579
3db4e966b7a1b4e3,874929308,0.0901
5868e3cbc7757437,5752475625,6.3008
379429d39aea43d4,436141546,4.1704
0d3554b576d09229,500839302,4.7935
619ea7ce24fe3bd9,12012307,5.9923
b8330a2966f67633,457404678,4.8454
8d1fa0b68188c9bb,6451168398,9.2176
30722589af181a62,2856689703,3.4497
