customer_id,age,visit_count,country,status,is_active,signup_at
69,20,33,NG,active,true,2023-06-06T11:20:00.000000
292,90,17,ES,pending,true,2023-07-19T19:14:00.000000
33,41,11,KE,active,true,2023-04-13T03:58:00.000000
131,82,36,IT,suspended,true,2023-08-20T00:49:00.000000
61,29,30,CA,inactive,true,2024-06-30T14:28:00.000000
254,41,27,GB,inactive,false,2024-03-29T04:55:00.000000
231,45,35,US,inactive,true,2023-05-17T14:41:00.000000
242,46,36,ES,inactive,true,2024-04-26T02:24:00.000000
195,40,35,GB,suspended,true,2024-05-09T10:22:00.000000
108,56,14,NG,inactive,true,2023-01-26T08:38:00.000000
49,30,8,JP,inactive,false,2023-12-16T11:13:00.000000
250,25,35,GB,inactive,true,2023-05-22T07:56:00.000000
15,58,37,ES,pending,true,2024-03-17T02:00:00.000000
200,36,7,NG,active,false,2024-06-05T17:40:00.000000
222,26,27,JP,pending,false,2023-03-19T08:34:00.000000
2,74,27,NG,active,true,2023-06-25T18:17:00.000000
229,37,23,JP,suspended,true,2024-07-15T05:27:00.000000
137,47,14,KE,suspended,true,2023-01-15T16:53:00.000000
118,23,28,NG,active,true,2024-01-10T05:03:00.000000
53,54,35,KE,active,true,2024-01-23T20:40:00.000000
163,62,25,IT,suspended,true,2024-05-21T17:10:00.000000
16,25,21,DE,inactive,true,2023-07-16T11:59:00.000000
12,93,36,IN,suspended,false,2023-01-09T16:58:00.000000
14,29,11,CA,pending,true,2023-02-27T11:04:00.000000
278,74,3,ES,active,true,2023-12-15T02:29:00.000000
5,43,3,IN,active,true,2023-01-28T07:35:00.000000
196,47,23,IN,active,false,2024-01-08T15:46:00.000000
111,41,39,FR,inactive,true,2023-10-18T19:57:00.000000
217,33,29,NG,inactive,false,2023-03-22T22:25:00.000000
15,25,10,DE,pending,true,2024-04-09T16:25:00.000000
271,43,29,DE,active,true,2023-11-10T08:55:00.000000
114,24,36,MX,pending,true,2023-10-23T15:02:00.000000
225,32,23,ES,inactive,true,2023-10-14T15:37:00.000000
254,29,22,IN,active,true,2024-03-01T13:14:00.000000
284,46,9,NG,active,true,2023-09-13T05:29:00.000000
120,54,29,GB,suspended,false,2024-09-05T21:51:00.000000
177,50,12,GB,inactive,false,2023-12-19T05:10:00.000000
119,85,34,CA,pending,false,2023-09-30T00:36:00.000000
113,72,30,GB,active,false,2024-04-30T00:41:00.000000
236,49,34,CA,active,false,2023-08-19T16:09:00.000000
149,22,18,FR,pending,true,2023-12-07T04:16:00.000000
12,50,38,IN,inactive,true,2024-07-10T08:21:00.000000
214,42,13,ES,inactive,true,2024-06-12T23:29:00.000000
285,59,8,JP,inactive,false,2024-04-21T12:30:00.000000
52,62,38,GB,pending,false,2023-07-07T08:37:00.000000
96,63,14,IT,suspended,false,2024-01-09T06:20:00.000000
152,76,18,IN,pending,true,2023-04-18T06:17:00.000000
62,66,6,FR,active,false,2024-07-26T02:35:00.000000
171,67,5,US,active,false,2024-08-02T02:55:00.000000
257,29,14,ES,pending,false,2024-09-13T19:53:00.000000
217,72,27,DE,inactive,true,2024-07-04T01:18:00.000000
260,49,32,ES,active,false,2024-02-13T20:08:00.000000
98,80,13,IT,pending,true,2023-04-28T20:21:00.000000
156,61,19,ES,pending,true,2023-03-27T13:26:00.000000
146,40,31,GB,inactive,true,2023-11-05T05:20:00.000000
256,95,3,US,active,true,2023-04-10T04:12:00.000000
259,32,24,FR,suspended,false,2024-06-19T10:17:00.000000
202,48,13,GB,inactive,true,2024-05-22T04:53:00.000000
18,27,40,MX,pending,false,2023-02-20T21:02:00.000000
246,73,3,MX,pending,true,2023-05-26T14:25:00.000000
125,53,19,DE,suspended,true,2024-05-28T00:54:00.000000
207,86,19,IN,suspended,false,2023-10-17T04:19:00.000000
213,56,39,IN,suspended,true,2024-07-08T23:22:00.000000
89,60,13,JP,pending,false,2023-10-31T16:57:00.000000
188,65,27,NG,suspended,true,2024-05-21T02:06:00.000000
281,70,0,IN,active,true,2024-02-21T09:01:00.000000
192,76,29,FR,active,true,2023-07-26T09:27:00.000000
45,64,20,KE,active,false,2024-01-03T13:45:00.000000
225,63,26,KE,inactive,true,2024-04-30T01:25:00.000000
261,58,15,IT,pending,false,2023-11-16T12:15:00.000000
56,68,6,ES,inactive,true,2023-02-06T13:20:00.000000
84,78,10,IN,active,false,2023-08-23T10:45:00.000000
267,83,32,FR,active,false,2023-05-12T12:56:00.000000
202,20,3,DE,pending,true,2024-02-19T07:04:00.000000
190,65,24,JP,inactive,false,2023-05-25T09:52:00.000000
251,34,10,DE,suspended,false,2024-03-04T10:02:00.000000
16,56,1,FR,suspended,false,2023-09-02T11:25:00.000000
241,39,32,GB,active,false,2023-10-01T14:38:00.000000
23,56,31,IT,active,false,2023-07-18T22:49:00.000000
158,90,31,ES,suspended,true,2023-12-01T21:14:00.000000
297,34,23,JP,pending,false,2024-03-12T04:38:00.000000
202,88,35,DE,pending,true,2024-07-29T17:19:00.000000
88,37,27,US,active,false,2023-04-20T07:06:00.000000
87,39,1,KE,active,true,2024-01-29T21:33:00.000000
258,76,38,GB,pending,true,2023-10-17T08:26:00.000000
117,37,27,IN,inactive,false,2023-06-27T10:07:00.000000
7,35,24,CA,pending,true,2023-04-21T19:07:00.000000
103,38,15,IN,suspended,false,2024-06-24T03:55:00.000000
277,28,33,IN,suspended,true,2024-05-29T13:39:00.000000
281,50,0,MX,inactive,true,2024-06-29T21:08:00.000000
119,48,35,GB,inactive,false,2024-09-07T08:17:00.000000
208,63,40,DE,suspended,true,2023-09-06T10:14:00.000000
264,58,2,MX,suspended,false,2024-02-27T13:53:00.000000
177,39,12,JP,inactive,false,2024-06-04T00:16:00.000000
296,53,20,NG,active,false,2023-05-28T22:19:00.000000
181,78,2,IT,inactive,false,2023-06-27T19:54:00.000000
236,57,8,ES,inactive,true,2024-09-03T00:15:00.000000
138,27,28,FR,inactive,false,2023-10-03T17:48:00.000000
281,72,11,US,active,false,2024-05-19T22:47:00.000000
3,37,28,ES,active,true,2023-01-03T06:23:00.000000
197,88,9,DE,active,true,2023-12-14T08:22:00.000000
263,63,9,MX,inactive,false,2024-05-15T21:05:00.000000
67,75,16,DE,suspended,false,2024-08-30T22:10:00.000000
266,31,32,CA,pending,false,2024-04-30T06:26:00.000000
288,37,24,GB,active,false,2023-07-30T08:25:00.000000
106,58,5,ES,suspended,true,2023-04-10T03:29:00.000000
219,26,32,GB,pending,true,2024-06-20T13:01:00.000000
29,41,7,ES,suspended,true,2024-07-08T21:12:00.000000
247,79,4,KE,inactive,true,2024-05-12T15:11:00.000000
187,86,24,NG,suspended,true,2024-02-18T08:27:00.000000
292,22,30,NG,active,true,2023-06-06T15:36:00.000000
284,23,23,CA,active,true,2023-09-05T21:23:00.000000
103,42,13,IN,inactive,true,2023-09-05T17:12:00.000000
259,63,2,IN,inactive,false,2023-07-08T03:45:00.000000
212,64,33,IT,inactive,true,2024-06-19T19:42:00.000000
249,82,26,GB,active,true,2023-02-05T12:58:00.000000
183,63,14,CA,inactive,false,2023-01-20T04:03:00.000000
213,82,30,MX,suspended,false,2024-01-01T00:54:00.000000
178,65,12,ES,suspended,false,2023-02-23T22:12:00.000000
1,61,10,CA,suspended,false,2023-06-25T03:35:00.000000
276,33,15,ES,pending,false,2023-10-23T19:30:00.000000
277,41,12,NG,inactive,false,2024-02-24T13:40:00.000000
170,66,33,KE,inactive,true,2024-06-08T06:54:00.000000
235,22,21,JP,suspended,false,2023-05-15T21:02:00.000000
15,52,19,GB,active,false,2024-01-12T01:55:00.000000
118,44,30,IT,suspended,false,2024-03-08T07:38:00.000000
91,25,39,IT,pending,true,2024-02-14T08:00:00.000000
282,49,36,NG,pending,false,2023-01-27T13:08:00.000000
300,56,32,CA,active,true,2024-08-21T00:53:00.000000
