order_id,customer_age,quantity,region,status,unit_price
1,32,2,east,pending,402.58
2,21,2,south,cancelled,430.59
3,53,19,north,cancelled,32.96
4,49,5,west,shipped,252.59
5,46,11,west,pending,158.2
6,35,14,east,pending,406.07
7,31,17,east,delivered,143.77
8,87,7,north,cancelled,314.96
9,29,11,south,shipped,307.01
10,72,20,north,pending,240.84
11,22,14,north,shipped,456.97
12,21,5,south,cancelled,110.59
13,29,15,south,delivered,324.3
14,45,17,east,shipped,57.06
15,47,8,west,cancelled,401.9
16,82,18,south,cancelled,259.83
17,21,16,west,cancelled,27.02
18,89,16,west,cancelled,484.97
19,43,16,south,delivered,59.52
20,87,13,west,cancelled,64.1
21,71,11,west,pending,343.98
22,46,9,north,pending,447.61
23,75,1,north,delivered,86.5
24,53,5,west,shipped,425.71
25,18,8,south,delivered,497.97
26,38,10,south,pending,37.52
27,72,16,south,shipped,152.2
28,61,4,north,delivered,457.25
29,53,10,east,delivered,237.69
30,37,12,south,delivered,358.78
31,45,4,north,delivered,157.8
32,61,7,north,cancelled,368.52
33,31,15,south,cancelled,207.79
34,29,9,east,pending,498.02
35,66,1,south,cancelled,484.76
36,30,5,east,shipped,496.46
37,63,18,north,pending,455.95
38,62,6,east,cancelled,320.09
39,51,14,east,delivered,187.93
40,23,12,east,cancelled,241.56
41,76,14,east,pending,98.06
42,86,11,north,shipped,324.3
43,33,6,west,pending,478.94
44,66,19,south,cancelled,220.67
45,28,8,north,delivered,386.38
46,88,13,north,delivered,158.45
47,55,16,north,shipped,200.65
48,64,12,south,pending,98.13
49,42,13,east,cancelled,34.92
50,26,6,west,delivered,268.07
51,23,15,west,shipped,456.24
52,47,12,west,delivered,79.88
53,55,9,east,shipped,117.5
54,28,11,west,cancelled,116.89
55,47,9,north,cancelled,478.7
56,30,1,north,pending,132.69
57,66,8,south,cancelled,52.09
58,53,10,south,shipped,330.28
59,76,19,east,delivered,443.89
60,64,17,south,pending,375.4
61,38,19,north,cancelled,331.88
62,65,8,north,shipped,132.54
63,63,20,south,pending,445.71
64,44,15,west,shipped,121.75
65,52,12,south,shipped,283.89
66,27,20,south,shipped,97.56
67,39,12,east,pending,210.57
68,86,11,west,shipped,298.75
69,49,8,east,cancelled,139.83
70,38,13,west,delivered,11.98
71,77,10,west,delivered,323.13
72,66,6,west,pending,210.42
